RegionCode,RegionName,CountryCode,CountryName,Year,Sex,SuicideCount,CauseSpecificDeathPercentage,StdDeathRate,DeathRatePer100K,Population,GDP,GDPPerCapita,GNI,GNIPerCapita,InflationRate,EmploymentPopulationRatio,InflationRate_Log,IncomeGroup,GDPPerCapita_Growth,GDPPerCapita_Growth_Lag1,GDPPerCapita_Growth_Lag3,GDPPerCapita_Growth_Lag5,InflationRate_Log_Lag1,InflationRate_Log_Lag3,InflationRate_Log_Lag5,EmploymentPopulationRatio_Lag1,EmploymentPopulationRatio_Lag3,EmploymentPopulationRatio_Lag5,GDPPerCapita_Scaled,GNIPerCapita_Scaled,InflationRate_Log_Scaled,EmploymentPopulationRatio_Scaled
EU,Europe,HUN,Hungary,1991,Male,2880,3.75185639,51.62239916,57.85709378,10373400.0,34753569693.0,3350.258323,115500000000.0,17450.0,34.81754291,49.26,3.838325658156487,High-Income,-70.4991485220396,,,,2.8609101062381272,,,46.3395,,,-0.7326432055441596,-0.24976360930132974,1.7674343788394875,-0.832036212608425
EU,Europe,HUN,Hungary,1992,Male,2939,3.690681,52.83140111,59.12256798,10369341.0,38730585922.0,3735.10582,115500000000.0,17450.0,23.65572078,48.419,3.5634811251391993,High-Income,11.487099199424943,-70.4991485220396,,,3.838325658156487,,,49.26,,,-0.7125413006773174,-0.24976360930132974,1.28429301171176,-0.9391001451845098
EU,Europe,HUN,Hungary,1993,Male,2715,3.3727546,48.6875049,54.73924964,10357523.0,40124916941.0,3873.987723,37898727388.0,8220.0,22.46423461,45.451,3.529131146719106,High-Income,3.7182856307937273,11.487099199424943,,,3.5634811251391993,2.8609101062381272,,48.419,46.3395,,-0.7052870224928551,-0.7502805298254049,1.2239101641706451,-1.316942894156946
EU,Europe,HUN,Hungary,1994,Male,2727,3.46708368,48.54347999,55.11847947,10343355.0,43166678735.0,4173.373024,41706392014.0,8610.0,18.86807499,44.643,3.4176667523093247,High-Income,7.728091114552038,3.7182856307937273,-70.4991485220396,,3.529131146719106,3.838325658156487,,45.451,49.26,,-0.6896491012743292,-0.7291319275497398,1.027970083755006,-1.4198057449553723
EU,Europe,HUN,Hungary,1995,Male,2478,3.20386843,43.68212608,50.20848272,10328965.0,46425677734.0,4494.707624,43906091023.0,8800.0,28.30546837,44.121,3.6872672935311335,High-Income,7.699637634883971,7.728091114552038,11.487099199424943,,3.4176667523093247,3.5634811251391993,2.8609101062381272,44.643,48.419,46.3395,-0.6728646928788531,-0.7188287623385182,1.501893187243068,-1.4862592203474245
EU,Europe,HUN,Hungary,1996,Male,2522,3.37044115,44.21634172,51.23320269,10311238.0,46658755152.0,4525.039103,45012332488.0,8930.0,23.46903019,43.21,3.5581762683393983,High-Income,0.6748265190385627,7.699637634883971,3.7182856307937273,-70.4991485220396,3.6872672935311335,3.529131146719106,3.838325658156487,44.121,45.451,49.26,-0.6712803756880656,-0.7117792282466299,1.2749677552166216,-1.6022345385124819
EU,Europe,HUN,Hungary,1997,Male,2388,3.25882257,41.84274523,48.64673264,10290486.0,47296952929.0,4596.182622,45321891715.0,9230.0,18.30507441,43.066,3.3990340957789633,High-Income,1.5722188776851276,0.6748265190385627,7.728091114552038,11.487099199424943,3.5581762683393983,3.4176667523093247,3.5634811251391993,43.21,44.643,48.419,-0.6675643056551861,-0.6955110726499644,0.995216268168891,-1.6205665317240823
EU,Europe,HUN,Hungary,1998,Male,2469,3.3230148,43.26668049,50.45901559,10266570.0,48706787306.0,4744.212264,45309899962.0,9750.0,14.15378965,43.776,3.24974975457176,High-Income,3.2207084481683523,1.5722188776851276,7.699637634883971,3.7182856307937273,3.3990340957789633,3.6872672935311335,3.529131146719106,43.066,44.121,45.451,-0.6598322096843068,-0.6673129362824108,0.7327935817512075,-1.5301796207502176
EU,Europe,HUN,Hungary,1999,Male,2550,3.41635294,45.62765012,53.07315416,10237530.0,49073380174.0,4793.478522,45930813002.0,10170.0,9.997744093,45.617,3.073981431609337,High-Income,1.0384496995179182,3.2207084481683523,0.6748265190385627,7.728091114552038,3.24974975457176,3.5581762683393983,3.4176667523093247,43.776,43.21,44.643,-0.6572588640365337,-0.6445375184470792,0.4238154590229244,-1.2958101797602402
EU,Europe,HUN,Hungary,2000,Male,2463,3.49485633,43.98279616,51.5088776,10210971.0,47218405892.0,4624.281657,47144492582.0,11170.0,9.803610169,46.071,3.0649647916767266,High-Income,-3.529730324720537,1.0384496995179182,1.5722188776851276,7.699637634883971,3.073981431609337,3.3990340957789633,3.6872672935311335,45.617,43.066,44.121,-0.666096596672217,-0.5903103331248608,0.4079653648037833,-1.2380134789403323
